PAIS,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
AZERBAIJAN,758476,792792,779332,645219,698993,927568,944724,800433,672668,634572,642478,652196,511986,303877,170793,88989,110510,49546,17472,2872,314
BAHRAIN,94382,92719,90625,101101,127026,152641,164309,168874,152619,118494,87976,60863,42768,22236,11130,7386,5294,3018,1197,295,50
BANGLADESH,14300676,14277217,14499332,14870280,15318140,13847840,12752878,11639991,10397171,9541909,8050121,6689387,5368294,4225952,3082714,2033117,1121967,477083,133196,21860,1728
BARBADOS,16755,17170,17601,18125,18229,20288,19947,21054,19924,21670,22865,21438,19525,15582,9785,6655,4128,2339,1093,326,61
BELARUS,481853,528159,514592,446140,463048,602989,785650,790209,702834,669977,612899,693627,675675,517205,368982,218578,225053,115980,52491,10962,1015
BELGIUM,661427,676101,680479,643229,669640,740645,769857,774781,756686,765130,791128,804693,735663,636613,559089,384824,318057,214527,101541,31985,4621
BELIZE,43629,43775,42750,41992,33929,35303,30564,25891,22783,18954,17245,14101,10578,7724,4668,2754,1782,896,248,31,1
BENIN,2347789,1916961,1596725,1408273,1211060,976638,781607,639478,542944,453008,277393,222235,182740,130315,88137,52911,25099,8944,2081,276,20
BERMUDA,4008,3967,4006,4237,4288,4367,4212,4073,3741,4044,4896,6083,5662,4518,3497,2595,1694,1125,520,176,41
BHUTAN,62844,63487,65522,68536,70443,74664,76400,67358,54365,42564,34523,27708,22286,17695,13957,10080,6135,2794,817,129,11
BOLIVIA,1174795,1175518,1181177,1161456,1074727,1017415,949193,837110,689170,561532,447564,383299,322050,250044,182603,118591,64570,33222,12847,2716,310
BOSNIA AND HERZEGOVINA,167289,170497,167886,180414,235119,240762,283981,287367,285338,300021,310111,306824,277759,233595,159075,101023,83139,34912,9184,1227,63
BOTSWANA,236794,237868,232953,217001,207285,203022,180217,170935,147787,119841,97378,77965,59320,44891,33763,25769,15730,6669,1782,246,17
BRAZIL,14309862,14719634,15668156,17007367,16997577,16401130,16852209,17196235,15700884,13911821,12737601,11427309,9286826,7231416,5250879,3485210,2117806,1005644,336958,65250,6199
BRITISH VIRGIN ISLANDS,2131,2111,1960,2144,2541,3094,3284,3156,3002,2756,2752,2606,2071,1487,1046,642,351,161,68,15,3
