,0-19,20-44,45-59,60-79,80-100+,TOTAL_POPULATION,GINI_INDEX,TOTAL_CASES,TOTAL_CASES_100K,TOTAL_DEATHS,TOTAL_DEATHS_100K,TOTAL_CASES_1M,TOTAL_DEATHS_1M,HDI,COUNTRY_CODE,DIABETES_PREVALENCE,LAST_GPD_USD,PHYSICIANS_DENSITY_PER_1K_POP,OBESITY_PREVALENCE_RATE,URBAN_POPULATION_2021,RATE_URBANIATION_EST_20_25,REGION
PALESTINE,2437.735,1824.992,478.025,219.198,21.472,4981.422,33.7,350105,6862.9,3893,76.31,70282140.3205751,781503.755353391,0.69,PSE,9.5,2549,1.45,,77,2.85,Middle East
PANAMA,1491.818,1565.336,682.799,422.595,83.892,4246.44,49.2,447824,10378.87,6951,161.1,105458690.102768,1636900.55670161,0.795,PAN,7.7,9611,1.57,22.7,1.92,68.8,Central America
PAPUA NEW GUINEA,4023.695,3212.27,1022.652,488.147,29.355,8776.119,50.9,17832,199.31,192,2.15,2031877.64432091,21877.5520249896,0.543,PNG,17.9,2347,0.07,21.3,13.5,2.91,East Asia/Southeast Asia
PARAGUAY,2718.839,2788.407,855.01,595.004,87.379,7044.639,46.2,456695,6402.98,15439,216.46,64828730.0456418,2191595.62328176,0.724,PRY,9.6,5163,1.35,20.3,62.5,1.64,South America
PERU,10714.583,12707.761,5161.041,3361.77,565.307,32510.462,42.8,2133812,6471.62,197393,598.67,65634625.5553059,6071676.24994071,0.759,PER,6.6,5685,1.3,19.7,78.3,1.33,South America
PHILIPPINES,43362.456,40945.387,14790.764,8135.736,882.279,108116.622,44.4,1755846,1602.33,30366,27.71,16240296.519808,280863.381025722,0.712,PHL,7.1,2980,0.6,6.4,2.04,47.7,East Asia/Southeast Asia
POLAND,7496.3,13607.205,7156.543,7891.561,1736.162,37887.771,29.7,2885676,7602.26,75306,198.39,76163783.8235456,1987607.03024731,0.872,POL,6.1,16945,2.38,23.1,-0.16,60.1,Europe
PORTUGAL,1885.626,3113.073,2276.6,2279.831,671.048,10226.178,33.8,1004470,9756.01,17573,170.68,98225358.4868169,1718432.82993901,0.85,PRT,9.8,22770,5.12,20.8,66.8,0.44,Europe
PUERTO RICO,663.022,880.101,620.664,618.151,151.466,2933.404,53.1,158825,5551.67,2667,93.22,54143581.9955247,909182.64241816,0.845,PRI,13.7,26822,3.06,,-0.12,93.6,Central America
QATAR,498.983,1796.043,444.788,88.289,3.968,2832.071,41.1,229428,7963.34,601,20.86,81010680.8762916,212212.193832711,0.848,QAT,15.6,59924,2.49,35.1,99.3,1.66,Middle East
