URBANIZACAO,PAIS,GINI,GASTOS_SAUDE,EXPECTATIVA_VIDA,DENSIDADE_MEDICOS,DENSIDADE_LEITOS_POR_MIL,PIB
0.74,SWITZERLAND,32.7,0.11900000000000001,83.03,4.3,4.7,588472000000
0.561,SYRIA,,,74.01,1.29,1.4,50280000000
0.7929999999999999,TAIWAN,33.6,,80.95,,,1143277000000
0.27699999999999997,TAJIKISTAN,34.0,0.07200000000000001,69.06,2.1,4.7,31502000000
0.36,TANZANIA,40.5,0.036000000000000004,69.9,0.01,0.7,149785000000
0.522,THAILAND,36.4,0.038,77.41,0.81,2.1,1285287000000
0.317,TIMOR-LESTE,28.7,0.043,69.62,0.72,,4593000000
0.434,TOGO,43.1,0.062,70.99,0.08,0.7,12904000000
0.0,TOKELAU,,,,2.72,,7711583
0.231,TONGA,37.6,0.051,77.29,0.54,2.6,667000000
0.5329999999999999,TRINIDAD AND TOBAGO,,0.069,74.92,4.17,3.0,36514000000
0.6990000000000001,TUNISIA,32.8,0.073,76.57,1.3,2.2,125783000000
0.7659999999999999,TURKEY,41.9,0.040999999999999995,75.96,1.85,2.8,2371374000000
0.53,TURKMENISTAN,40.8,0.066,71.54,2.23,4.0,86858000000
0.938,TURKS AND CAICOS ISLANDS,,,80.6,,,1117000000
0.648,TUVALU,39.1,0.191,68.07,0.91,,49000000
0.256,UGANDA,42.8,0.065,68.58,0.17,0.5,96838000000
0.698,UKRAINE,26.1,0.077,73.18,2.99,7.5,538388000000
0.873,UNITED ARAB EMIRATES,32.5,0.042,79.37,2.53,1.4,655789000000
0.8420000000000001,UNITED KINGDOM,34.8,0.1,81.3,2.81,2.5,3118396000000
0.8290000000000001,UNITED STATES,41.1,0.16899999999999998,80.43,2.61,,20524945000000
0.956,URUGUAY,39.7,0.092,78.19,5.08,2.4,74638000000
0.504,UZBEKISTAN,36.8,0.053,75.03,2.37,4.0,235021000000
0.257,VANUATU,37.6,0.034,74.87,0.17,,945000000
0.883,VENEZUELA,39.0,0.036000000000000004,72.22,,0.9,269068000000
0.381,VIETNAM,35.7,0.059000000000000004,75.25,0.83,2.6,775669000000
0.96,VIRGIN ISLANDS,,,80.05,,,3872000000
0.0,WALLIS AND FUTUNA,,,80.45,,,60000000
0.77,WEST BANK,33.7,,76.12,1.45,1.3,21220000000
0.5660000000000001,WORLD,37.9,0.1,70.5,,,
0.385,YEMEN,36.7,0.055999999999999994,67.18,0.53,0.7,73630000000
0.452,ZAMBIA,57.1,0.049,65.92,1.19,2.0,61985000000
0.32299999999999995,ZIMBABWE,44.3,0.047,62.83,0.21,1.7,41533000000
,EUROPEAN UNION,30.8,0.099,77.63,,,
,KOSOVO,29.0,,72.99,,,20396000000
,SAINT BARTHELEMY,,,80.36,,,
,SAINT MARTIN,,,80.36,,,561500000
